mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,ID,iPSC-T1R1,iPSC-T1R2,iPSC-T1R3,iPSC-T2R1,iPSC-T2R2,iPSC-T2R3,m15-T1R1,m15-T1R2,m15-T1R3,m15-T2R1,m15-T2R2,m15-T2R3,mESC-T1R1,mESC-T1R2,mESC-T1R3,mESC-T2R1,mESC-T2R2,mESC-T2R3,number_of_observation_per_peak
217.1047378,217.1045366,217.1050775,147.1495,144.312,150.219,1,2473723.521,3866798.491,5009716.232,772209.9492,340868.931,779391.0271,3041352.959,4818427.415,3856466.544,397560.9231,676370.1259,514883.5282,4933150.162,4291626.837,3706275.783,792389.5935,285422.18,385959.1996,18
218.9432521,218.9429608,218.943649,607.29,604.153,610.348,2,2490462.059,2287450.494,2525214.745,1404904.576,1385527.971,1427404.613,1777705.005,2013726.542,2717363.906,1514171.14,1475738.843,1441850.4,2553932.304,2524874.914,2565334.001,1356820.648,1570657.141,1188834.304,18
220.9414531,220.9412188,220.9417818,606.941,604.153,610.348,3,363057.3778,326337.8948,371622.7759,217313.165,198834.5519,205125.2385,358177.3345,288058.1986,412196.3765,220226.0078,218563.0696,199810.4119,384141.3075,364163.455,365534.6923,191458.5954,208161.5403,197696.7043,18
234.9176293,234.917026,235.054649,606.382,604.153,609.726,4,2899341.332,2494139.954,2999619.854,1985070.149,1874215.317,45328.45501,3447390.95,3074405.157,3943256.271,2764991.948,2772311.763,2880573.96,3911398.825,3966793.199,3792063.053,1821160.093,1973005.567,1779657.655,18
288.2899442,288.289359,288.4414869,248.243,243.415,270.412,5,2073483.165,2722008.18,2157950.028,3272088.657,4517696.398,4306971.77,1644114.783,1427677.808,1783917.615,2666143.773,2689535.728,2775310.222,2725562.765,2315414.255,2346015.306,3571038.655,45820.22503,3600473.818,18
300.2895384,300.2890657,300.3517003,254.309,233.827,310.031,6,293134.6012,277429.2515,307223.5249,484090.0051,486265.5577,430039.7329,300911.0678,311920.7687,391973.4983,455838.0259,485961.7659,403238.9389,423126.3131,432131.3719,441858.9612,659720.523,789775.5745,712682.8499,18
316.9206445,316.9202382,316.9209991,606.51,604.153,609.726,7,2480665.49,2207134.285,2516045.624,2014545.827,1943254.451,2011612.716,2503323.991,2049892.956,2880995.887,2292087.774,2236521.185,2218305.362,2772607.298,2713096.876,2672670.378,1930545.858,2203281.424,2123260.452,18
318.9185847,318.9181735,318.91896,606.51,604.153,609.726,8,532497.8147,485439.6453,544335.4084,462314.5628,434586.7816,411984.0965,543037.6663,449109.7281,624092.7877,512035.0746,494805.5684,490913.163,610254.3836,594541.2854,587451.7086,424525.5613,486821.138,452692.7998,18
332.8947852,332.8942532,332.8952749,606.382,604.153,609.726,9,2424936.333,1972578.825,2530846.335,2232438.867,2151464.92,2150125.81,3058886.136,2654949.694,3529012.57,3430884.876,3807740.113,3628500.507,3496626.168,3576068.359,3374313.289,2041763.038,2198646.388,2174459.094,18
334.8928924,334.8922806,334.8932,606.382,604.153,609.726,10,701065.7684,577195.7633,717240.7293,685735.9644,660904.0717,649017.1197,878315.833,764813.1671,1018751.661,1068340.886,1191774.943,1136116.378,1001085.318,1049347.67,979754.7978,616329.0084,663020.6008,671982.5554,18
339.2895917,339.2882081,339.2907057,110.467,103.491,113.81,11,753706.2024,309318.0268,192899.8523,1278200.161,2420111.924,1309079.445,1155620.343,592372.4385,448618.4146,1895735.901,1966098.131,1344020.478,431396.6167,690804.457,1005323.053,1538763.275,1591763.639,1283426.966,18
344.2279208,344.2128497,344.228303,190.344,180.474,268.465,12,158145.6375,165410.6556,590984.4133,231498.7875,298050.4434,173115.5255,71099.37441,163212.9345,226870.7961,138192.7332,138955.7898,129629.6816,315459.723,156494.763,154662.0394,105287.2138,135030.7057,210299.542,18
414.8976474,414.8972481,414.898086,606.382,604.153,609.726,13,1233240.931,1052279.443,1246460.337,1041318.281,988340.2473,1015555.243,1296878.256,1036240.748,1495154.627,1231227.898,1241570.375,1218171.824,1445265.705,1426096.197,1371040.088,945380.3721,1113231.879,1067173.859,18
415.2126524,415.2116887,415.2736015,105.87,84.36,115.717,14,3811165.249,4854712.563,156448.1315,12373970.16,24546045.09,22520191.57,4164962.161,72999.45546,4283753.373,13214472.84,16941885.29,15085700.3,1506729.966,4480402.749,3810364.563,16997002.28,21627341.95,32824558.02,18
416.8957593,416.8954557,416.8961542,606.382,604.153,609.726,15,360765.303,313012.602,364623.5308,305978.8235,294893.2426,300236.8405,375089.1748,302257.0489,437470.3554,367657.6953,369436.3771,353790.8597,431846.1316,419198.7871,409312.1783,290048.9151,331726.2295,318430.1834,18
430.8715027,430.8707614,430.8718803,606.382,604.153,609.726,16,418717.5208,319193.4736,455649.9316,421945.8935,420077.7866,406860.387,579264.3677,490144.179,673486.543,727945.7023,831265.2465,779347.9605,679395.5087,708467.6228,651225.3454,383483.0269,415191.2792,413224.4994,18
