V1,V2
1,0.747658869
2,0.486314938
3,2.950837625
4,3.059579327
5,4.602934514
6,5.994930346
7,7.684258182
8,7.976750048
9,8.7510765
10,11.19039417
11,11.00407319
12,13.53496897
13,13.25622983
14,11.56869493
15,17.08560162
16,15.92269264
17,15.36695352
18,17.66357217
19,19.99441956
20,20.05166813
21,23.16110603
22,21.56706249
23,22.47065214
24,24.34432742
25,26.48059873
26,26.68640155
27,25.30377521
28,27.34923163
29,29.47057036
30,30.26274764
1,7.252086924
2,5.595362307
3,7.759016837
4,10.42158107
5,11.26529057
6,11.90491655
7,13.42858231
8,12.77238541
9,16.23881645
10,17.37257131
11,15.88476452
12,19.74322767
13,20.15487842
14,21.44369357
15,22.11268999
16,21.72791768
17,22.51964026
18,24.39908712
19,25.44820487
20,27.34784848
21,26.41187509
22,29.73681852
23,30.4757656
24,28.49012269
25,31.28445272
26,31.70746938
27,32.92813357
28,33.65034363
29,35.20553363
30,37.13038783
