ComponetID,s 1,s 3,s 5,s 7,s 9,s11,s13,s15,s17,s19,s 2,s 4,s 6,s 8,s10,s12,s14,s16,s18,s20
v1,13149,15519,19836,15295,13914,20420,0,9446,0,0,15555,16537,11419,13220,0,0,0,0,0,0
v5,162952,180989,158248,229520,263812,0,52334,255144,0,248804,118508,212548,56673,0,0,250705,126276,220093,0,0
v17,0,31487,85956,0,0,71313,154987,0,113738,0,131435,0,118734,161159,175739,0,91395,0,172121,150729
v51,36557,38760,35297,37840,24565,19599,34990,18844,29631,38666,39023,15508,38534,19073,22347,18005,20253,33684,20895,22632
v68,0,0,4938,4550,6474,5683,5026,6963,8716,5780,5575,6272,4115,2798,7937,4493,0,3856,5077,6089
v79,173049,117192,152004,99548,141102,117173,99758,129630,76964,101756,153949,148514,132456,111417,143258,158397,95746,115308,110720,77643
v117,876770,553371,1525264,916726,1330384,621676,1079832,2014771,1196309,925441,851576,1395904,702752,1708838,1512946,2079317,848811,858499,1519398,1366109
v118,155480,26951,118552,70027,212695,0,0,153927,200490,126646,113314,187757,161121,93956,194555,0,145302,120846,0,190456
v132,6458,6316,5565,4690,6138,6676,0,0,0,6802,5964,5522,6250,5209,6211,6080,6430,0,0,0
v138,11102,2424,9918,0,11507,11898,7431,8669,6587,11049,13449,8352,0,11218,20478,10607,12892,12524,15940,22623
v144,8579,0,0,0,0,0,4096,0,4171,0,0,0,3185,9025,0,8285,6003,0,0,0
v158,48087534,33907656,52858687,44984529,54271728,54300304,53523621,55684680,50836846,50721093,49326802,50158645,48035323,59815913,46910623,58616968,45332734,42389618,58623287,51718868
v160,0,1322427,2536891,0,2538649,0,2522000,2398518,1253515,0,1390218,747582,0,1334527,0,694100,0,0,0,0
v161,0,0,0,0,361107,388834,372825,387495,0,0,0,0,0,0,370369,349369,0,0,360792,0
v162,3935632,0,0,0,0,3295491,0,0,2007990,0,0,3109315,3633386,0,3713756,0,2944927,3978593,4501714,3711626
v163,0,0,0,0,956827,0,532461,1113547,1171857,0,0,0,1172182,1069328,0,1292123,0,0,721241,1056424
v165,113447,0,65650,0,58291,0,0,57736,0,105611,0,0,107975,0,54758,0,0,0,0,0
v177,51920,0,13495,19339,69168,69794,126038,48233,50320,34248,42686,0,0,0,53499,0,64899,0,79202,0
v184,19830,0,0,0,23336,26275,31711,0,0,0,16270,0,23501,35954,31210,40474,30879,0,0,44919
v251,3168,1259,5735,4425,5343,0,0,0,0,2720,0,0,2913,2697,3812,0,0,0,4702,4614
v262,37568,0,27530,16273,0,31582,42849,27506,20517,13145,7401,15038,32547,0,19052,0,0,23445,50698,42555
v271,27610,17679,0,53496,0,35851,33789,60023,52031,40230,54655,0,0,50542,15269,37192,0,49545,63158,0
v301,39662,37215,57773,158205,86816,0,90791,96626,0,154919,0,154595,53938,0,53329,0,146319,0,0,87009
v325,4734,0,0,0,11629,6500,6665,0,0,0,0,8573,0,0,0,0,0,0,0,0
v338,0,0,0,0,0,1308,894,1131,0,0,0,0,0,1041,1411,0,0,0,0,0
v346,14385,5988,27253,4399,47389,44264,57221,26993,31655,0,9919,31914,37078,35352,40583,25586,28050,28200,21813,35985
v351,9293,6169,0,0,0,0,0,0,12126,0,24292,0,0,0,22442,0,0,13896,14693,0
v424,0,3387,5415,0,6459,4836,4193,0,0,0,3057,0,0,0,3271,0,0,0,4542,0
v437,3157180,1484641,6888422,2760424,7115602,6538730,4629135,5177084,5290789,3131827,2917795,2008676,2982239,4239687,3687749,4573219,1216216,2123377,4489506,3305090
v443,32908,0,0,21759,57782,73658,0,0,28552,34161,25963,0,0,0,31114,50832,0,22417,0,0
v459,13388,4910,27221,6395,30933,12417,15666,0,0,0,10581,0,0,5401,0,17284,0,0,0,0
v498,4564335,4673803,4533051,4314714,4441658,3998592,3007566,4487610,5445640,4489619,4600101,4699652,4326185,4938490,4395354,2968793,5001655,4166120,5378208,4448679
v526,290991,176739,204959,186871,249743,228378,35925,29407,181859,130526,455024,273308,290261,185420,131936,56024,8634,38353,24742,77637
v534,55845,33203,93836,27433,605879,107490,102077,101642,72472,71771,23337,30250,0,26385,0,24657,3991,5880,106027,29006
v579,24809882,13471168,42587809,20864810,39388848,43953656,44779664,36798217,28275749,27762003,35695678,20691576,29229618,40564204,43162793,45487363,38906117,39795973,42578466,44810329
v580,0,212909,496045,300554,0,605648,646242,0,467365,0,0,0,0,0,660201,0,0,0,0,0
v597,89047,20422,97114,0,123836,153018,69211,81392,102833,26236,0,0,0,0,0,0,0,0,0,83339
v605,12094,0,12522,0,30640,27376,11018,28722,0,0,0,0,0,0,0,0,0,0,0,0
v607,95088,67981,227569,40294,177232,240481,239494,209279,111046,129247,126953,140860,77070,169260,106762,211108,203670,200134,196710,213964
v608,83058,0,0,41418,0,0,0,0,77351,0,61446,0,54836,0,89519,0,0,0,72877,0
v609,17493,5670,25719,10702,32306,33429,0,26327,23457,16340,0,0,0,20027,26098,26074,0,0,0,0
v730,3859,0,4390,0,0,3853,4418,3547,0,1873,0,4587,5142,0,0,0,0,4287,0,2481
v745,2336251,384248,1211143,413379,2840222,1053202,2225766,6250194,540540,953656,1728101,4097929,2585345,2144417,975480,1019575,684263,1219834,1676962,906322
v746,0,0,0,0,87041,0,0,355762,42629,0,0,207986,0,32281,0,0,0,0,0,0
v751,47146,11396,42256,29276,0,0,27233,0,0,11556,60514,0,0,12235,26174,50576,34737,0,36762,24195
v753,0,5494,7408,0,14713,10713,56439,17681,0,5373,13619,41813,13916,0,0,0,0,41759,23032,54122
v795,73223,0,46632,26456,14604,39316,27801,20729,37212,19437,15611,17701,46490,31275,56766,100268,26618,16164,27342,25327
v815,0,0,0,0,0,0,0,0,0,0,3202,1790,1431,2491,3769,2925,0,2503,1895,4063
v842,9960,6275,8740,9044,9274,13506,12024,0,4607,6569,4762,0,0,0,0,0,0,6940,6832,10762
v854,15389,9311,28850,17575,0,42815,21161,0,27305,0,0,0,0,0,10807,0,0,8146,0,0
v862,4901,2008,3719,0,5491,7671,0,5979,0,3982,5053,0,4889,4975,0,7968,0,1395,8765,7748
v870,90225,0,50712,0,150190,106299,163781,115876,0,96940,55588,20428,82527,25848,54008,13087,0,44655,0,0
v872,23325,9312,0,18081,43148,27398,40087,0,13160,21959,16353,24996,15371,31113,21568,22694,0,14911,20472,0
v877,1834,0,0,0,0,4136,0,0,3122,0,0,0,3145,0,3326,0,1551,3793,0,4592
v887,144625,220186,137116,287986,248924,133569,271749,145570,130645,197415,35870,38288,99592,177572,63171,49772,103370,54114,242255,299110
v906,112422,13980,23588,3885,0,0,0,20156,0,19614,15203,7645,32104,14204,0,0,0,60646,0,0
v912,0,16237,19181,19229,26677,13114,20827,12849,14924,18630,11472,20264,22963,17066,19044,15368,11787,19671,0,8850
v933,0,9240,0,6753,6998,8605,0,0,0,0,6053,0,11093,9894,5818,8423,9888,9944,11260,7800
v952,3541,0,1997,0,2855,1863,2619,0,0,2772,0,0,2807,0,1565,1552,0,0,0,0
v969,10193,6504,13191,13110,0,8964,10216,0,12833,13951,0,10708,11177,0,11051,9829,9664,12640,10339,11154
v973,13691,19484,17897,15835,18008,0,29737,0,0,16237,16424,14201,18068,7553,14805,0,10023,13643,0,16976
v975,0,0,0,0,6142,0,7305,4576,6050,0,0,6465,0,0,4087,0,5963,0,9973,0
v982,4909,0,0,0,8655,0,0,8817,4095,0,0,0,0,6286,3248,4655,0,0,7522,4073
v986,4995,0,0,0,9167,3502,4650,8153,0,0,1776,0,0,0,0,1511,0,0,0,2866
v996,28473,6431,23027,0,0,0,0,0,0,14744,0,23353,27002,0,0,6730,0,15549,0,0
v1002,4412,2436,7191,0,8471,4643,9174,7235,3925,6256,8221,8235,10655,5886,6638,3357,0,5254,5606,5339
v1004,0,0,0,0,0,0,0,114110,76920,0,0,0,69209,0,81366,0,0,0,0,0
